date,Algeria_/search,Egypt_/search,SaudiArabia_/search,Yemen_/search,total_/search,Algeria_/ar/search,Egypt_/ar/search,SaudiArabia_/ar/search,Yemen_/ar/search,total_/ar/search,Proportion
1/11/2022,0,33,0,0,33,0,0,0,0,0,0
1/12/2022,67,233,100,0,400,0,0,0,0,0,0
1/1/2023,67,0,100,133,300,0,0,0,33,33,0.099099099
1/2/2023,33,67,100,0,200,0,0,0,33,33,0.141630901
1/3/2023,200,33,200,0,433,33,33,33,0,99,0.186090226
1/4/2023,167,133,100,0,400,33,0,0,0,33,0.076212471
1/5/2023,133,100,67,0,300,0,33,0,0,33,0.099099099
1/6/2023,67,33,33,0,133,0,0,33,0,33,0.198795181
1/7/2023,33,67,33,33,166,0,0,33,0,33,0.165829146
1/8/2023,33,133,33,33,232,0,0,0,0,0,0
1/9/2023,100,100,133,0,333,33,0,33,0,66,0.165413534
1/10/2023,67,133,200,0,400,0,0,33,0,33,0.076212471
1/11/2023,100,67,100,0,267,0,33,0,0,33,0.11
1/12/2023,33,33,133,0,199,33,67,33,0,133,0.40060241
1/1/2024,100,100,300,0,500,0,33,33,0,66,0.116607774
1/2/2024,167,67,433,33,700,0,0,133,0,133,0.159663866
1/3/2024,167,0,300,0,467,0,33,33,0,66,0.123827392
1/4/2024,100,0,133,67,300,0,0,0,0,0,0
1/5/2024,133,67,167,0,367,33,0,0,0,33,0.0825
1/6/2024,233,100,300,0,633,0,0,0,0,0,0
1/7/2024,167,100,67,0,334,33,33,0,0,66,0.165
1/8/2024,33,133,33,33,232,0,0,0,0,0,0
1/9/2024,33,133,167,0,333,33,0,33,0,66,0.165413534
1/10/2024,133,167,333,67,700,0,33,33,33,99,0.123904881
1/11/2024,67,300,400,33,800,0,0,100,33,133,0.142550911
1/12/2024,167,200,233,33,633,0,0,0,0,0,0
1/1/2025,67,100,267,0,434,0,33,33,0,66,0.132
1/2/2025,233,133,167,33,566,33,0,0,0,33,0.05509182
1/3/2025,167,200,33,33,433,0,67,0,0,67,0.134
1/4/2025,267,233,100,67,667,0,67,33,0,100,0.130378096
,,,,,,,,,,,0.10833076
