date,language,totalDownloads
1/12/2024,Arabic,5
1/12/2024,Arabic,58
1/12/2024,Arabic,27
1/12/2024,Arabic,3
1/12/2024,Arabic,2
1/12/2024,Arabic,3
1/12/2024,Arabic,2
1/12/2024,Arabic,26
1/12/2024,Arabic,4
1/12/2024,Arabic,2
1/11/2024,Arabic,17
1/11/2024,Arabic,16
1/11/2024,Arabic,38
1/11/2024,Arabic,1
1/11/2024,Arabic,15
1/11/2024,Arabic,13
1/10/2024,Arabic,28
1/10/2024,Arabic,10
1/10/2024,Arabic,38
1/10/2024,Arabic,4
1/10/2024,Arabic,1
1/10/2024,Arabic,3
1/10/2024,Arabic,20
1/10/2024,Arabic,9
1/10/2024,Arabic,1
1/9/2024,Arabic,1
1/9/2024,Arabic,37
1/9/2024,Arabic,19
1/9/2024,Arabic,2
1/9/2024,Arabic,3
1/9/2024,Arabic,1
1/9/2024,Arabic,1
1/9/2024,Arabic,8
1/9/2024,Arabic,16
1/8/2024,Arabic,9
1/8/2024,Arabic,8
1/8/2024,Arabic,25
1/8/2024,Arabic,17
1/8/2024,Arabic,4
1/8/2024,Arabic,5
1/8/2024,Arabic,15
1/8/2024,Arabic,2
1/7/2024,Arabic,4
1/7/2024,Arabic,10
1/7/2024,Arabic,51
1/7/2024,Arabic,6
1/7/2024,Arabic,5
1/7/2024,Arabic,6
1/7/2024,Arabic,12
1/7/2024,Arabic,1
1/6/2024,Arabic,2
1/6/2024,Arabic,13
1/6/2024,Arabic,15
1/6/2024,Arabic,3
1/6/2024,Arabic,10
1/6/2024,Arabic,1
1/6/2024,Arabic,1
1/6/2024,Arabic,38
1/5/2024,Arabic,1
1/5/2024,Arabic,20
1/5/2024,Arabic,24
1/5/2024,Arabic,2
1/5/2024,Arabic,25
1/5/2024,Arabic,4
1/5/2024,Arabic,1
1/5/2024,Arabic,88
1/5/2024,Arabic,4
1/4/2024,Arabic,2
1/4/2024,Arabic,5
1/4/2024,Arabic,26
1/4/2024,Arabic,567
1/4/2024,Arabic,1
1/4/2024,Arabic,1
1/4/2024,Arabic,81
1/4/2024,Arabic,6
1/4/2024,Arabic,8
1/4/2024,Arabic,3
1/4/2024,Arabic,1
1/3/2024,Arabic,4
1/3/2024,Arabic,5
1/3/2024,Arabic,311
1/3/2024,Arabic,1
1/3/2024,Arabic,2
1/3/2024,Arabic,7
1/3/2024,Arabic,11
1/3/2024,Arabic,5
1/2/2024,Arabic,1
1/2/2024,Arabic,14
1/2/2024,Arabic,17
1/2/2024,Arabic,139
