date,/search,/ja/search,Proportion
1/12/2022,600,900,0.6
1/1/2023,400,700,0.636363636
1/2/2023,700,700,0.5
1/3/2023,800,800,0.5
1/4/2023,1100,800,0.421052632
1/5/2023,1200,600,0.333333333
1/6/2023,700,900,0.5625
1/7/2023,400,500,0.555555556
1/8/2023,500,500,0.5
1/9/2023,800,600,0.428571429
1/10/2023,700,300,0.3
1/11/2023,700,800,0.533333333
1/12/2023,900,500,0.357142857
1/1/2024,400,700,0.636363636
1/2/2024,1100,300,0.214285714
1/3/2024,1300,300,0.1875
1/4/2024,500,900,0.642857143
1/5/2024,700,700,0.5
1/6/2024,800,300,0.272727273
1/7/2024,600,600,0.5
1/8/2024,800,900,0.529411765
1/9/2024,600,1000,0.625
1/10/2024,500,1400,0.736842105
1/11/2024,1000,1000,0.5
1/12/2024,1200,700,0.368421053
1/1/2025,900,1000,0.526315789
1/2/2025,600,400,0.4
1/3/2025,800,500,0.384615385
1/4/2025,800,800,0.5
,,,0.474213539
