Countries,downloads,visitors,/search,/es/search,/ja/search,/fr/search,/uk/search,/zh/search,/zh-tw/search,/ru/search,/pt/search,/ar/search
Anonymous VPN Service,NA,7445,1661,198,9,71,0,6,2,19,13,0
China,344253,1330466,323747,517,88,178,15,41179,368,19,62,44
Japan,327396,479229,26924,245,22184,103,19,1132,42,20,75,13
United Kingdom,317377,890601,79797,290,8,158,40,521,24,45,110,15
United States,294060,3190683,248060,1466,39,277,36,2243,68,246,393,33
Mexico,196116,1654300,56633,75266,8,97,16,36,16,34,105,15
Spain,121437,1222072,65007,77011,8,419,46,110,13,51,235,20
Brazil,120184,1489675,102456,2114,13,263,16,48,25,23,27182,16
Colombia,117468,1578904,57967,111222,9,196,6,37,11,32,238,16
Netherlands,85688,405369,42488,230,9,125,24,83,8,88,53,9
Switzerland,74599,236396,26295,92,8,3791,20,34,2,6,39,3
France,56895,1333802,55042,584,11,43909,21,185,18,80,109,20
Germany,53584,1090874,99856,818,29,475,165,165,18,272,152,50
Canada,50187,540605,49884,179,12,2391,10,88,8,10,59,4
Italy,43735,658521,46368,498,22,318,20,90,7,27,105,11
South Africa,40281,192938,18916,44,2,28,6,119,4,3,55,3
Australia,39178,396435,30644,100,9,44,9,130,10,5,28,9
Belgium,37813,282405,24333,156,1,4378,17,59,1,5,16,12
India,34972,1142409,67223,197,10,139,37,55,11,18,83,23
Norway,31811,161742,15504,98,2,57,3,6,1,17,16,3
Czech Republic,31186,214183,16027,171,20,96,30,15,3,40,39,5
Ecuador,29004,317472,13242,17399,4,73,1,10,3,10,36,2
Chile,28240,326766,16413,19702,3,70,3,9,1,3,74,4
Argentina,26854,362738,10312,11769,5,78,3,15,1,6,54,4
Peru,26447,443358,22844,28086,3,50,8,13,6,12,133,7
Denmark,25167,207281,18057,138,3,78,6,44,3,19,23,7
Russian Federation,24086,516058,39285,145,2,54,21,86,5,17160,50,19
Portugal,16441,306405,25116,374,1,213,5,7,0,8,3079,3
Israel,15916,95423,3746,17,0,13,0,4,2,149,11,8
Republic of Korea,14668,211421,28785,106,45,42,29,213,14,33,40,9
Indonesia,11785,891740,261364,335,61,155,21,127,20,61,255,79
Hong Kong,11602,134942,23547,105,39,21,5,3399,628,13,19,3
Guatemala,11544,78821,4460,4185,1,6,0,3,0,4,13,1
Taiwan,10492,240235,13412,49,59,19,9,1098,8472,14,26,9
New Zealand,10047,107243,12894,38,2,29,5,23,2,1,8,1
Singapore,9781,79155,8116,42,41,8,4,717,9,10,16,1
Costa Rica,7554,114672,5043,5285,6,37,1,2,0,2,17,1
Benin,7459,39296,1522,8,0,1440,2,1,0,0,1,0
Turkey,7378,251289,18856,143,8,67,99,17,5,38,21,21
Iran,7338,156920,16309,45,1,23,2,12,3,19,14,9
Greece,7307,133547,13734,50,1,52,1,21,1,5,20,3
Austria,6806,162297,18681,80,3,47,12,17,2,10,39,6
Poland,6784,299411,23988,144,2,41,79,50,7,97,54,3
Ukraine,6430,195837,10966,42,1,28,6098,16,13,2749,15,4
Philippines,6313,471113,31294,66,9,25,2,18,1,8,22,6
Sweden,5559,211422,20184,75,7,59,14,61,8,28,17,6
Venezuela,5551,78366,2359,2334,3,20,2,4,0,0,14,4
Thailand,5104,204945,15211,68,25,24,6,35,5,9,35,10
Finland,4670,126527,10968,28,2,51,9,21,3,22,14,2
Egypt,3342,80307,3470,18,1,13,0,2,1,4,5,306
Bolivia,3231,72712,1995,2698,42,5,2,1,0,1,31,3
Bangladesh,3139,61015,3144,13,1,31,1,44,2,0,4,2
Vietnam,3016,165611,15045,91,57,40,18,40,5,28,46,6
Malaysia,2916,212800,10373,21,37,11,2,107,7,2,11,4
Nepal,2724,44813,5417,5,1,3,0,0,0,4,3,1
Kenya,2427,51323,3166,10,0,20,3,1,1,1,8,3
Ireland,2250,65270,4683,18,0,10,1,26,0,1,7,1
Pakistan,2112,97013,4941,28,1,12,1,2,1,5,2,6
Romania,2061,122774,7878,48,2,28,36,9,1,11,18,5
Mozambique,1958,20309,1304,7,0,3,0,0,0,0,830,0
Croatia,1954,73927,4903,18,0,11,4,2,2,5,6,1
Cameroon,1895,30646,1651,9,1,1196,2,0,0,2,2,1
Serbia,1752,61656,4532,7,0,39,2,8,1,11,4,2
Ethiopia,1727,22566,1148,7,0,3,0,1,0,3,2,2
Nigeria,1688,131154,3784,10,0,42,1,5,1,0,4,0
Côte d'Ivoire,1560,28268,2065,7,0,1768,0,0,0,0,0,1
