date,/search,/ru/search,Proportion
1/12/2022,1200,300,0.2
1/1/2023,1400,500,0.263157895
1/2/2023,1000,1000,0.5
1/3/2023,1200,500,0.294117647
1/4/2023,1100,300,0.214285714
1/5/2023,900,300,0.25
1/6/2023,700,200,0.222222222
1/7/2023,1000,200,0.166666667
1/8/2023,1000,500,0.333333333
1/9/2023,1200,500,0.294117647
1/10/2023,1400,400,0.222222222
1/11/2023,1500,1000,0.4
1/12/2023,1700,900,0.346153846
1/1/2024,1500,300,0.166666667
1/2/2024,1600,800,0.333333333
1/3/2024,1600,1000,0.384615385
1/4/2024,1000,1200,0.545454545
1/5/2024,1200,400,0.25
1/6/2024,1800,400,0.181818182
1/7/2024,700,300,0.3
1/8/2024,1100,200,0.153846154
1/9/2024,1500,700,0.318181818
1/10/2024,1200,500,0.294117647
1/11/2024,2600,1400,0.35
1/12/2024,1600,300,0.157894737
1/1/2025,1100,700,0.388888889
1/2/2025,1800,700,0.28
1/3/2025,1900,900,0.321428571
1/4/2025,2100,700,0.25
,,,0.289052521
